,stroma,plasmablast-enriched stroma,lymphoid structure,tumor-stroma boundary,myeloid-enriched stroma,tumor interior
217,0.38011175,0.010778609,0.07455897,0.041588444,0.45884475,0.03411746
218,0.38294983,0.016369004,0.08655983,0.049947623,0.4236753,0.04049832
219,0.35721427,0.01994086,0.14278342,0.04371028,0.40161163,0.03473952
220,0.24070607,0.028800894,0.22418913,0.03866377,0.44091412,0.026726054
221,0.2590286,0.010394929,0.11074186,0.038581435,0.55038613,0.030867055
222,0.2855932,0.005926165,0.124450766,0.029486908,0.523603,0.030939935
223,0.21556075,0.008579867,0.1949313,0.034078415,0.50265545,0.044194233
224,0.22645916,0.011259573,0.1628035,0.042164095,0.5094963,0.047817424
225,0.2727712,0.01806853,0.19265035,0.05777548,0.37668574,0.08204868
226,0.2539093,0.023342831,0.22235906,0.055661973,0.37549353,0.069233336
227,0.30501732,0.017114716,0.21708426,0.041329667,0.37434956,0.045104392
228,0.2528902,0.06688237,0.21509157,0.059932604,0.36850998,0.036693152
229,0.2533147,0.040444214,0.28832054,0.043986592,0.3382515,0.035682432
230,0.3228346,0.054853052,0.18361855,0.079897925,0.2868649,0.07193094
231,0.36782008,0.065535136,0.23658536,0.08572258,0.16455597,0.07978079
232,0.21927778,0.054837726,0.31571156,0.08294856,0.2033363,0.12388807
233,0.16435087,0.020162245,0.3579007,0.06856884,0.16460328,0.22441402
234,0.11648,0.015963107,0.34118873,0.059205726,0.22237152,0.24479097
235,0.17990175,0.028517975,0.41527593,0.072472565,0.11615642,0.18767536
236,0.14776365,0.013881918,0.41855228,0.062417597,0.0842742,0.27311027
237,0.14347203,0.023184778,0.49738166,0.061963473,0.074590854,0.1994072
238,0.10169275,0.007184818,0.59930754,0.035783045,0.04837684,0.20765506
239,0.07277751,0.009715929,0.6222234,0.032987263,0.067681216,0.19461465
240,0.08508069,0.00546343,0.65239525,0.029590955,0.028640924,0.19882876
241,0.071609825,0.010307737,0.6370217,0.033861294,0.04698938,0.20021008
242,0.073359795,0.0081881145,0.66360295,0.029445538,0.05102167,0.1743819
243,0.0736476,0.006378447,0.607323,0.032357294,0.040833596,0.23946005
244,0.11552436,0.014944481,0.5683074,0.05000877,0.038240906,0.21297409
245,0.110452846,0.010437458,0.573717,0.046985265,0.02128619,0.23712128
246,0.08454499,0.01100114,0.6134735,0.041220944,0.020713303,0.22904617
