,niche1,niche2,niche3,niche4,niche5,niche6,niche9,niche10
137,0.1965798,0.081118315,0.052457735,0.08273698,0.14924884,0.07941198,0.027802674,0.33064374
138,0.20904678,0.076783575,0.040770702,0.07192341,0.15152553,0.071911566,0.018927258,0.35911116
139,0.20197107,0.08455054,0.047152355,0.077235825,0.15616152,0.07835132,0.02303091,0.33154646
140,0.20279345,0.08849645,0.044891726,0.073856585,0.16174297,0.07886251,0.020853728,0.32850266
141,0.1918752,0.05757925,0.053031143,0.08665417,0.1209413,0.06897925,0.032594204,0.38834545
142,0.1760442,0.059108783,0.06980914,0.09897885,0.11679149,0.075988956,0.04944748,0.3538311
143,0.17006606,0.058048867,0.07568848,0.10264712,0.11341384,0.07733953,0.056676567,0.34611955
144,0.16739678,0.07896262,0.08081234,0.103535436,0.13334206,0.088995695,0.056358434,0.29059663
145,0.15745816,0.08557172,0.092018165,0.10861207,0.13509272,0.095187746,0.067354284,0.25870517
146,0.13775985,0.054033197,0.113588326,0.1179879,0.09812334,0.08459911,0.109303854,0.28460437
147,0.15063159,0.068375945,0.099909246,0.11356355,0.11674532,0.089311235,0.0826853,0.27877778
148,0.13343282,0.044875458,0.1154821,0.11675122,0.08728102,0.079161145,0.11841083,0.3046054
149,0.14218839,0.053456046,0.10710574,0.116017535,0.0992599,0.08282928,0.09974154,0.2994016
150,0.12663814,0.05182128,0.12948588,0.12023052,0.0913026,0.08623232,0.13561893,0.25867033
151,0.120357215,0.04288415,0.13581748,0.11868868,0.0804347,0.08145134,0.15333056,0.26703584
152,0.121691264,0.039935224,0.13138352,0.11739368,0.07795406,0.0785027,0.14904356,0.28409597
153,0.12563775,0.058123745,0.13395005,0.1218651,0.096759155,0.09078804,0.13713682,0.2357393
154,0.14198035,0.064763255,0.11115425,0.11784601,0.11005518,0.09002026,0.09908754,0.26509315
155,0.122480586,0.04179493,0.13170058,0.11813539,0.08014661,0.079922564,0.14739302,0.2784263
156,0.12700772,0.038045514,0.12028761,0.11511823,0.07809494,0.07510802,0.13204046,0.31429756
157,0.15091746,0.045666717,0.09172669,0.10987307,0.09401474,0.07450029,0.08308259,0.35021845
158,0.14499594,0.046261318,0.09951508,0.112804346,0.09279736,0.07669249,0.09379718,0.3331363
159,0.1385565,0.053272996,0.111839086,0.11712849,0.097852536,0.08378922,0.10701461,0.2905466
160,0.12818296,0.058822572,0.12928982,0.12109526,0.09859455,0.09036943,0.12980948,0.24383591
161,0.13573615,0.045637514,0.11236958,0.116045594,0.08914807,0.07907401,0.112797216,0.3091919
162,0.12752391,0.047024816,0.12599958,0.11875447,0.08726875,0.08254017,0.13360012,0.27728823
163,0.14958388,0.056232326,0.09872226,0.113046326,0.10498915,0.082521535,0.08620644,0.30869812
164,0.13752931,0.06772031,0.117475435,0.11989807,0.11059808,0.09295057,0.10732338,0.24650481
165,0.13837512,0.06095873,0.1154932,0.1190456,0.10504702,0.088940755,0.107349716,0.26478985
166,0.13915958,0.093736954,0.11431272,0.117796905,0.13249375,0.104240134,0.09318867,0.2050712
167,0.13978398,0.046144325,0.10733451,0.11533458,0.09101401,0.078400716,0.10472138,0.31726646
168,0.12359422,0.036952008,0.12561838,0.115648694,0.075636804,0.075187795,0.14215842,0.30520365
169,0.14420408,0.062433403,0.1080046,0.117063224,0.10883516,0.08804463,0.095882684,0.27553225
170,0.15108055,0.07465127,0.0999106,0.113381654,0.12259415,0.09235702,0.0804124,0.26561236
171,0.13418922,0.054214995,0.11743949,0.11854173,0.096408255,0.0854694,0.116425745,0.27731115
172,0.16718659,0.10367812,0.07895318,0.09821188,0.15617043,0.09881009,0.049392276,0.24759735
173,0.15223359,0.09419799,0.09871584,0.11069308,0.14032038,0.100715645,0.07239167,0.23073187
174,0.16884269,0.12812917,0.069770984,0.085897475,0.1823768,0.10509414,0.036509056,0.22337969
175,0.16281304,0.09344894,0.08597076,0.10379486,0.14517908,0.09689085,0.058061574,0.2538409
176,0.15681829,0.07128654,0.09354789,0.110637955,0.12215164,0.08915989,0.0728692,0.28352863
177,0.15537338,0.08631551,0.09509426,0.109911,0.13531055,0.096414894,0.07025932,0.25132108
178,0.14180309,0.0796569,0.11257841,0.11839823,0.122692116,0.09766414,0.09541402,0.2317931
179,0.14319853,0.1008285,0.10747636,0.114104584,0.14031634,0.10562573,0.08304245,0.20540744
180,0.13867223,0.071630366,0.115685746,0.11935165,0.114389345,0.09448741,0.1036473,0.24213591
181,0.1375334,0.1132985,0.11167525,0.11397993,0.14658059,0.11148804,0.085860685,0.17958356
182,0.12904349,0.09728176,0.12583867,0.12074688,0.13031867,0.10807427,0.109891005,0.1788053
183,0.12815289,0.11100641,0.12384718,0.11854876,0.14049254,0.11319452,0.10373284,0.16102488
184,0.13751662,0.13156788,0.10521581,0.10661027,0.16217162,0.11680141,0.07434076,0.16577555
185,0.13096502,0.09628072,0.123453416,0.12043196,0.13004214,0.10716496,0.10657604,0.18508573
