,niche1,niche2,niche3,niche4,niche5,niche6,niche9,niche10
93,0.20447284,0.0063897762,0.33865815,0.15974441,0.047923323,0.028753994,0.0,0.2140575
94,0.2236842,0.016447369,0.2993421,0.17763157,0.02631579,0.039473683,0.0,0.21710527
95,0.20711975,0.009708738,0.27831715,0.13592233,0.045307443,0.084142394,0.0,0.2394822
96,0.21501707,0.023890786,0.26962456,0.092150174,0.027303753,0.12969284,0.0,0.24232082
97,0.19936709,0.015822785,0.22468354,0.07911392,0.0664557,0.12974684,0.0,0.28481013
98,0.16887417,0.046357617,0.24172185,0.049668875,0.069536425,0.12582782,0.0,0.29801324
99,0.16187051,0.02877698,0.23741007,0.04676259,0.07913669,0.097122304,0.0,0.34892085
100,0.18181819,0.012987013,0.20454545,0.029220778,0.09415584,0.12337662,0.0,0.3538961
101,0.15986395,0.027210884,0.1632653,0.020408163,0.12585033,0.14965986,0.0034013605,0.35034013
102,0.15151516,0.024242423,0.1,0.015151516,0.16969697,0.18484849,0.0,0.35454544
103,0.12671232,0.05821918,0.07876712,0.023972603,0.17465754,0.1609589,0.0,0.37671232
104,0.1122449,0.08163265,0.037414964,0.013605442,0.20068027,0.14285715,0.0,0.41156462
105,0.10429448,0.1196319,0.015337423,0.021472393,0.19631901,0.15337424,0.0,0.38957056
106,0.07575758,0.124242425,0.003030303,0.030303031,0.26363635,0.10909091,0.0,0.3939394
107,0.06430868,0.15755627,0.0,0.03858521,0.21543409,0.10932476,0.0,0.414791
108,0.08571429,0.16190477,0.0,0.025396826,0.25396827,0.092063494,0.0,0.3809524
109,0.1024735,0.1024735,0.0,0.028268551,0.2932862,0.09187279,0.0,0.38162544
110,0.06049822,0.09608541,0.0035587188,0.017793594,0.30604982,0.099644125,0.0,0.4163701
111,0.062091503,0.12091503,0.026143791,0.003267974,0.24509804,0.12745099,0.0,0.41503268
112,0.06484642,0.054607507,0.034129694,0.010238908,0.25938568,0.16040955,0.0,0.41638225
113,0.08783784,0.08108108,0.04391892,0.006756757,0.22297297,0.14864865,0.0,0.4087838
114,0.097222224,0.059027776,0.034722224,0.013888889,0.19791667,0.16666667,0.0,0.43055555
115,0.09440559,0.05944056,0.055944055,0.013986014,0.22027972,0.12237762,0.0,0.43356642
116,0.09148265,0.07255521,0.07570978,0.018927446,0.22712934,0.10410095,0.0,0.41009465
117,0.10280374,0.06542056,0.080996886,0.031152649,0.2554517,0.11214953,0.0,0.3520249
118,0.085324235,0.092150174,0.09556314,0.037542664,0.20136519,0.10921501,0.0,0.37883958
119,0.10818713,0.10233918,0.096491225,0.06725146,0.16959064,0.099415205,0.0,0.35672516
120,0.12258065,0.11935484,0.11290322,0.061290324,0.15161291,0.10967742,0.012903226,0.30967742
